id,gold,topic,SVM_prediction,BETO_prediction,RoBERTuito_prediction,GPT-4.1-mini_prediction,GPT-4o-mini_prediction,Qwen2.5-7B_prediction,SVM_correct,BETO_correct,RoBERTuito_correct,GPT-4.1-mini_correct,GPT-4o-mini_correct,Qwen2.5-7B_correct,n_model_correct,n_model_errors,error_rate,difficulty_group
1419450898774904832,hs,lgbt,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1550118428794490880,nhs,lgbt,hs,hs,hs,hs,hs,hs,0,0,0,0,0,0,0,6,1.0,hard
1628312499152986112,hs,lgbt,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1594064712265703424,nhs,obesity,hs,hs,hs,hs,hs,hs,0,0,0,0,0,0,0,6,1.0,hard
1595795324576051200,hs,obesity,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1600753360839536640,nhs,obesity,hs,hs,hs,hs,hs,hs,0,0,0,0,0,0,0,6,1.0,hard
1604946742314782720,hs,obesity,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1622885959254540288,hs,obesity,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1624910011762724864,hs,obesity,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1646154218569449472,hs,obesity,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1293472759847292928,hs,racism,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1299828375582801920,hs,racism,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1315616859572629504,hs,racism,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1319370909518528512,hs,racism,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1360095468055916288,hs,racism,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1600189618351411200,hs,racism,nhs,nhs,nhs,nhs,nhs,nhs,0,0,0,0,0,0,0,6,1.0,hard
1320239410324119552,hs,lgbt,nhs,hs,nhs,nhs,nhs,nhs,0,1,0,0,0,0,1,5,0.8333333333333334,hard
1321013075248664576,nhs,lgbt,hs,hs,hs,hs,nhs,hs,0,0,0,0,1,0,1,5,0.8333333333333334,hard
1336942535181103104,hs,lgbt,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1341668354424270848,hs,lgbt,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1431722818207690752,hs,lgbt,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1441889589396975616,hs,lgbt,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1443562024399740928,nhs,lgbt,hs,hs,hs,nhs,hs,hs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1450010213025828864,hs,lgbt,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1503738581852078080,hs,lgbt,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1596880471014924288,nhs,lgbt,nhs,hs,hs,hs,hs,hs,1,0,0,0,0,0,1,5,0.8333333333333334,hard
1592659601765588992,hs,obesity,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1595238523162034176,nhs,obesity,hs,hs,hs,hs,hs,nhs,0,0,0,0,0,1,1,5,0.8333333333333334,hard
1596080577148780544,nhs,obesity,hs,hs,hs,hs,hs,nhs,0,0,0,0,0,1,1,5,0.8333333333333334,hard
1597283135607037952,nhs,obesity,hs,hs,hs,hs,hs,nhs,0,0,0,0,0,1,1,5,0.8333333333333334,hard
1597927726765441024,nhs,obesity,hs,hs,hs,hs,hs,nhs,0,0,0,0,0,1,1,5,0.8333333333333334,hard
1597954398130429952,hs,obesity,nhs,nhs,hs,nhs,nhs,nhs,0,0,1,0,0,0,1,5,0.8333333333333334,hard
1598665049576542208,hs,obesity,nhs,nhs,nhs,nhs,hs,nhs,0,0,0,0,1,0,1,5,0.8333333333333334,hard
1600692127914430464,nhs,obesity,hs,hs,hs,hs,hs,nhs,0,0,0,0,0,1,1,5,0.8333333333333334,hard
1608447417581555712,nhs,obesity,hs,nhs,hs,hs,hs,hs,0,1,0,0,0,0,1,5,0.8333333333333334,hard
1610973101201985536,hs,obesity,hs,nhs,nhs,nhs,nhs,nhs,1,0,0,0,0,0,1,5,0.8333333333333334,hard
1615435686454099968,hs,obesity,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1620467669786034176,hs,obesity,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1626870120118198272,nhs,obesity,hs,hs,hs,hs,hs,nhs,0,0,0,0,0,1,1,5,0.8333333333333334,hard
1629535048771796992,hs,obesity,nhs,nhs,hs,nhs,nhs,nhs,0,0,1,0,0,0,1,5,0.8333333333333334,hard
1632531433884450816,hs,obesity,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1634599899240054784,hs,obesity,nhs,nhs,nhs,nhs,hs,nhs,0,0,0,0,1,0,1,5,0.8333333333333334,hard
1644989803421638656,hs,obesity,hs,nhs,nhs,nhs,nhs,nhs,1,0,0,0,0,0,1,5,0.8333333333333334,hard
1276421445913018368,hs,racism,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1295405851625365504,hs,racism,hs,nhs,nhs,nhs,nhs,nhs,1,0,0,0,0,0,1,5,0.8333333333333334,hard
1303461900768944128,hs,racism,nhs,nhs,hs,nhs,nhs,nhs,0,0,1,0,0,0,1,5,0.8333333333333334,hard
1305846851044859904,hs,racism,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
1319585094089179136,hs,racism,nhs,nhs,nhs,hs,nhs,nhs,0,0,0,1,0,0,1,5,0.8333333333333334,hard
